P,0.4136,0.27,1.166,0.14,0,0,0,0.28,0,0,0,0.56
C,0.4136,0.27,1.446,0.4136,0.27,1.621,0.07
S,0.4136,0.27,1.621,0.105
C,0.4136,0.41,1.396,0.4136,0.48,1.396,0.05
C,0.4136,0.48,1.396,0.4312,0.48,1.187,0.042
C,0.4312,0.48,1.187,0.5472,0.48,0.8274,0.042
C,0.4136,0.13,1.396,0.4136,0.06,1.396,0.05
C,0.4136,0.06,1.396,0.45,0.06,1.19,0.042
C,0.45,0.06,1.19,0.623,0.06,0.8535,0.042
C,0.4136,0.34,0.8865,0.5164,0.34,0.4793,0.07
C,0.5164,0.34,0.4793,0.2482,0.34,0.2128,0.042
C,0.2256,0.34,0.2089,0.3918,0.34,0.1298,0.028
C,0.4136,0.2,0.8865,0.4564,0.2,0.4687,0.07
C,0.4564,0.2,0.4687,0.491,0.2,0.09215,0.042
C,0.4777,0.2,0.07823,0.6614,0.2,0.07967,0.028
