P,0.6949,0.27,1.246,0.1386,0,-0.01948,0,0.28,0,0.07794,0,0.5546
C,0.7339,0.27,1.523,0.7579,0.27,1.697,0.07
S,0.7579,0.27,1.697,0.105
C,0.7269,0.41,1.474,0.7269,0.48,1.474,0.05
C,0.7269,0.48,1.474,0.5975,0.48,1.308,0.042
C,0.5975,0.48,1.308,0.8737,0.48,1.05,0.042
C,0.7269,0.13,1.474,0.7269,0.06,1.474,0.05
C,0.7269,0.06,1.474,0.6979,0.06,1.266,0.042
C,0.6979,0.06,1.266,1.067,0.06,1.344,0.042
C,0.6559,0.34,0.969,0.8785,0.34,0.6128,0.07
C,0.8785,0.34,0.6128,0.659,0.34,0.3051,0.042
C,0.6371,0.34,0.2962,0.7821,0.34,0.183,0.028
C,0.6559,0.2,0.969,0.4588,0.2,0.5981,0.07
C,0.4588,0.2,0.5981,0.08251,0.2,0.6343,0.042
C,0.07669,0.2,0.6471,0.05114,0.2,0.4648,0.028
