P,0.6949,0.27,1.246,0.1386,0,-0.01948,0,0.28,0,0.07794,0,0.5546
C,0.7339,0.27,1.523,0.7579,0.27,1.697,0.07
S,0.7579,0.27,1.697,0.105
C,0.7269,0.41,1.474,0.7269,0.48,1.474,0.05
C,0.7269,0.48,1.474,0.6034,0.48,1.304,0.042
C,0.6034,0.48,1.304,0.8956,0.48,1.064,0.042
C,0.7269,0.13,1.474,0.7269,0.06,1.474,0.05
C,0.7269,0.06,1.474,0.6906,0.06,1.267,0.042
C,0.6906,0.06,1.267,1.064,0.06,1.321,0.042
C,0.6559,0.34,0.969,0.8529,0.34,0.5981,0.07
C,0.8529,0.34,0.5981,0.7663,0.34,0.2302,0.042
C,0.7493,0.34,0.2137,0.9095,0.34,0.1231,0.028
C,0.6559,0.2,0.969,0.4852,0.2,0.5852,0.07
C,0.4852,0.2,0.5852,0.1506,0.2,0.7611,0.042
C,0.1501,0.2,0.7751,0.09793,0.2,0.5985,0.028
