############################################################################################################
# Minimums of wetness found for the following parameters:
# Body = RunningMan.in, vmax = 2 vfall
# dx = 0.05 m, nstep = 50
# nfit = 9, dv = 0.006 vfall
# Columns:
# vcross (vfall)	vtail (vfall)	vopt (vfall)	vopt_std (vfall)	Rmin (m^2)	Rmin_std (m^2)
############################################################################################################
0.000000000000	0.000000000000	2.000000000000	0.000000000000	0.433334511905	0.000000000000
0.000000000000	0.222222222222	0.812777702670	0.000975907463	0.367161224479	0.000053241600
0.000000000000	0.444444444444	0.842930920075	0.000865399049	0.283110111053	0.000024952502
0.000000000000	0.666666666667	0.935500650217	0.000328003966	0.219320432285	0.000016370197
0.000000000000	0.888888888889	1.131048085084	0.001648726656	0.176884519767	0.000026211533
0.000000000000	1.111111111111	1.288877647000	0.000413528002	0.146563831580	0.000018751528
0.000000000000	1.333333333333	1.500525901998	0.000764091504	0.124969559383	0.000021753918
0.000000000000	1.555555555556	1.715672199544	0.001749520900	0.108711272339	0.000045071009
0.000000000000	1.777777777778	1.932430086233	0.001902054080	0.096334841747	0.000057120038
0.000000000000	2.000000000000	2.000000000000	0.000000000000	0.097540131896	0.000000000000
