############################################################################################################
# Minimums of wetness found for the following parameters:
# Body = WalkingMan.in, vmax = 2 vfall
# dx = 0.001 m, nstep = 50
# nfit = 9, dv = 0.006 vfall
# Columns:
# vcross (vfall)	vtail (vfall)	vopt (vfall)	vopt_std (vfall)	Rmin (m^2)	Rmin_std (m^2)
############################################################################################################
0.000000000000	0.775510204082	1.212496502596	0.005928839719	0.231540590289	0.004530983684
0.000000000000	0.836734693878	1.236781083498	0.013017066317	0.223315113723	0.004321625912
0.000000000000	0.897959183674	1.161655954698	0.240122598149	0.218866646572	0.006267706394
0.000000000000	0.959183673470	1.249590212471	0.006227799930	0.202338988040	0.005043412241
0.000000000000	1.020408163266	1.555143396092	0.007963203724	0.194981403034	0.003675936644
0.000000000000	1.081632653061	1.570687525884	0.006105809785	0.185288638135	0.003019848091
0.000000000000	1.142857142857	1.586055754834	0.004628020220	0.180062353162	0.003620827329
0.000000000000	1.204081632653	2.000000000000	0.000000000000	0.179967423809	0.000000000000
0.000000000000	1.265306122449	1.982512521528	0.004742552427	0.175039401144	0.002666750866
0.000000000000	1.326530612245	1.724640917518	0.019760111337	0.159938514059	0.003083465282
0.000000000000	1.387755102041	1.980168209040	0.001535465535	0.158477861771	0.001773670139
0.000000000000	1.448979591837	2.000000000000	0.000000000000	0.150730194761	0.000000000000
0.000000000000	1.510204081633	1.973398121934	0.008148600480	0.147145788162	0.002316058753
0.000000000000	1.571428571429	2.000000000000	0.000000000000	0.138183751041	0.000000000000
0.000000000000	1.632653061225	1.984375687263	0.007952231953	0.134720409426	0.002681064549
0.000000000000	1.693877551020	1.984310155718	0.008708163412	0.128003645409	0.003314835357
0.000000000000	1.755102040816	1.842616001580	0.016181153158	0.123965723976	0.003176917327
0.000000000000	1.816326530612	2.000000000000	0.000000000000	0.120685051674	0.000000000000
0.000000000000	1.877551020408	1.873293130863	0.031865773457	0.116528496162	0.004918507957
0.000000000000	1.938775510204	1.992864769300	0.012485064702	0.113698305530	0.002514646239
0.000000000000	2.000000000000	1.958702526759	0.117553984540	0.110359853097	0.004895466898
