############################################################################################################
# Minimums of wetness found for the following parameters:
# Body = WalkingMan.in, vmax = 0.7 vfall
# dx = 0.001 m, nstep = 50
# nfit = 9, dv = 0.006 vfall
# Columns:
# vcross (vfall)	vtail (vfall)	vopt (vfall)	vopt_std (vfall)	Rmin (m^2)	Rmin_std (m^2)
############################################################################################################
0.147368421053	0.000000000000	0.700000000000	0.000000000000	0.620290364663	0.000000000000
0.147368421053	0.036842105263	0.700000000000	0.000000000000	0.595358638341	0.000000000000
0.147368421053	0.073684210526	0.700000000000	0.000000000000	0.570588746264	0.000000000000
0.147368421053	0.110526315789	0.700000000000	0.000000000000	0.545957938674	0.000000000000
0.147368421053	0.147368421053	0.700000000000	0.000000000000	0.521462528076	0.000000000000
0.147368421053	0.184210526316	0.700000000000	0.000000000000	0.497078272332	0.000000000000
0.147368421053	0.221052631579	0.700000000000	0.000000000000	0.472810351704	0.000000000000
0.147368421053	0.257894736842	0.617988271075	0.000148209931	0.447994262685	0.000000844841
0.147368421053	0.294736842105	0.570310702676	0.000314089080	0.420502072784	0.000008169373
0.147368421053	0.331578947368	0.569319664475	0.000043726025	0.394136974925	0.000001207594
0.147368421053	0.368421052632	0.566629704253	0.000021927495	0.369387902317	0.000000529560
0.147368421053	0.405263157895	0.568286831675	0.000106363329	0.346090160568	0.000003350046
0.147368421053	0.442105263158	0.577462194046	0.000040794415	0.324514604308	0.000001282376
0.147368421053	0.478947368421	0.586075871704	0.000097738779	0.304609654774	0.000002546127
0.147368421053	0.515789473684	0.597687530655	0.000121216761	0.286182969771	0.000003870108
0.147368421053	0.552631578947	0.617457486770	0.000827712978	0.269251783536	0.000039838627
0.147368421053	0.589473684211	0.645448524885	0.000829601567	0.253874335284	0.000064459778
0.147368421053	0.626315789474	0.675702359061	0.000487307396	0.240012772340	0.000043033040
0.147368421053	0.663157894737	0.700000000000	0.000000000000	0.227652438437	0.000000000000
0.147368421053	0.700000000000	0.700000000000	0.000000000000	0.219448375024	0.000000000000
0.184210526316	0.000000000000	0.700000000000	0.000000000000	0.621249526093	0.000000000000
0.184210526316	0.036842105263	0.700000000000	0.000000000000	0.596411363847	0.000000000000
0.184210526316	0.073684210526	0.700000000000	0.000000000000	0.571798723340	0.000000000000
0.184210526316	0.110526315789	0.700000000000	0.000000000000	0.547376481944	0.000000000000
0.184210526316	0.147368421053	0.700000000000	0.000000000000	0.523103379009	0.000000000000
0.184210526316	0.184210526316	0.700000000000	0.000000000000	0.499007871534	0.000000000000
0.184210526316	0.221052631579	0.700000000000	0.000000000000	0.475111527718	0.000000000000
0.184210526316	0.257894736842	0.700000000000	0.000000000000	0.451433381982	0.000000000000
0.184210526316	0.294736842105	0.624232939747	0.000109039491	0.427184080411	0.000000810595
0.184210526316	0.331578947368	0.598915166924	0.000074639230	0.401906196957	0.000001754234
0.184210526316	0.368421052632	0.594479381366	0.000074126176	0.377833714958	0.000001643290
0.184210526316	0.405263157895	0.592315219294	0.000131464710	0.355052876001	0.000003100269
0.184210526316	0.442105263158	0.598146799892	0.000052778854	0.333694228617	0.000001524713
0.184210526316	0.478947368421	0.605707855858	0.000122853314	0.313899941417	0.000002807929
0.184210526316	0.515789473684	0.613656731791	0.000232782121	0.295442365359	0.000006712971
0.184210526316	0.552631578947	0.630265219746	0.000165856433	0.278404992044	0.000005766098
0.184210526316	0.589473684211	0.655760621291	0.001017752200	0.262778670367	0.000063809486
0.184210526316	0.626315789474	0.685816150886	0.000798923174	0.248639259935	0.000069028922
0.184210526316	0.663157894737	0.700000000000	0.000000000000	0.236532656076	0.000000000000
0.184210526316	0.700000000000	0.700000000000	0.000000000000	0.228938248893	0.000000000000
0.221052631579	0.000000000000	0.700000000000	0.000000000000	0.624280862714	0.000000000000
